Marysville,Washington,63269,48.0517637,-122.1770818
Perris,California,72326,33.7825194,-117.22864779999999
Cleveland,Ohio,390113,41.499320000000004,-81.6943605
Worcester,Massachusetts,182544,42.262593200000005,-71.8022934
Columbia,South Carolina,133358,34.0007104,-81.0348144
Waterbury,Connecticut,109676,41.558152500000006,-73.0514965
Eagan,Minnesota,65453,44.804132200000005,-93.1668858
Southfield,Michigan,73006,42.473368799999996,-83.2218731
Lafayette,Louisiana,124276,30.2240897,-92.0198427
Boise City,Idaho,214237,43.6187102,-116.2146068
Elkhart,Indiana,51265,41.6819935,-85.9766671
Buena Park,California,82882,33.867514299999996,-117.99811809999999
Marietta,Georgia,59089,33.952602,-84.5499327
Parker,Colorado,48608,39.5186002,-104.76136329999999
West Palm Beach,Florida,102436,26.7153424,-80.0533746
Salem,Massachusetts,42544,42.51954,-70.8967155
Aurora,Illinois,199963,41.7605849,-88.3200715
Leesburg,Virginia,47673,39.1156615,-77.5636015
Doral,Florida,50213,25.8195424,-80.3553302
Westminster,California,91739,33.7513419,-117.99399209999999
Lubbock,Texas,239538,33.5778631,-101.85516650000001
